Gene,P-value
CNN2,3.268636456880831e-33
PDIA3,3.5063970917816946e-33
MAP2K3,3.573005976421822e-33
CREB3L1,3.766072917739586e-33
MLKL,4.4317698730587644e-33
RPL36,4.786436069729015e-33
CA12,6.353840802119088e-33
RILP,6.531556927480756e-33
KHDRBS1,6.584545080852992e-33
KRT19,6.983675298730006e-33
CADM1,7.533247374027441e-33
HIPK1,7.951238047501221e-33
VSNL1,8.368464392270251e-33
BID,9.686885438651588e-33
MTMR11,1.0233636102537968e-32
FYTTD1,1.0952635073764119e-32
NDRG1,1.4374264488711985e-32
SUCLG1,1.6136887730697255e-32
RIPK2,1.6251481508925884e-32
C4BPA,1.7206423616454073e-32
SLC30A7,1.7862780696856447e-32
CEBPD,1.8736437400880504e-32
UBA6,2.1150141621576056e-32
GSKIP,2.251466812780823e-32
RPLP2,2.3739268179865254e-32
PTPN1,2.537839636690462e-32
ARMC10,2.65039900379353e-32
BZW1,2.6636412361777107e-32
CCNG2,2.891060108068129e-32
HK1,2.967103398737619e-32
CSNK1E,3.943265705601206e-32
PABPC1,4.287582990978833e-32
EPB41L2,4.5561555263335717e-32
GCC2,5.155659550626425e-32
STAP2,5.164810366480769e-32
MMP7,5.277092047376079e-32
DCTD,5.347797205691936e-32
ECHS1,5.775917117518053e-32
TRPM6,5.907555978454831e-32
FABP2,6.200919244414035e-32
ATF7IP2,6.513121798014793e-32
PPDPF,7.282166979625613e-32
S1PR4,7.394136225157827e-32
KDM5A,7.845815561758047e-32
DUSP6,8.207803445002607e-32
IL17RC,9.422935055844739e-32
GDE1,1.1161273318786593e-31
DAP,1.1322047241867616e-31
DUOXA1,1.1597514474433138e-31
YBX3,1.3184705643394118e-31
PDCD2,1.3475127120875836e-31
SULT1A1,1.38379525450922e-31
PAPSS1,1.5088761843785256e-31
PDLIM1,1.522000786448627e-31
PRDX2,1.6083795659588927e-31
VOPP1,1.6810122175279403e-31
PARP1,1.70643128009417e-31
TMEM63A,1.8683060971087278e-31
MGAT1,1.9334470001067417e-31
ELL2,1.952501320936252e-31
NINJ1,2.191396729402335e-31
ANKRD9,2.286854710558877e-31
CASP4,2.4798250071330435e-31
CDC25B,2.492586322237923e-31
ITLN1,2.537695582654843e-31
DKC1,2.544675845243361e-31
EPS8L1,2.8486858450841216e-31
RHOQ,3.176577071611919e-31
TMED3,3.4718948441467998e-31
SESTD1,3.536150486117669e-31
ADPGK,3.5881129079840995e-31
GYPC,3.841905219307259e-31
GNAI2,3.993712887244131e-31
MID1IP1,4.002053646655753e-31
ENOPH1,4.082901462744128e-31
DCPS,4.133524563174428e-31
HCLS1,4.765716212024993e-31
CRELD2,4.84702278341994e-31
SETX,4.902756562911943e-31
LSP1,5.033332827742411e-31
C8orf76,5.03464995881862e-31
UBE2I,5.41410712202866e-31
FUT8,5.80923894332876e-31
FLNA,5.855223179738025e-31
TAF1D,6.028478797902414e-31
KLHL5,6.1163276446038645e-31
TXNDC15,6.195232847412257e-31
NT5C3B,7.091975977781088e-31
