gene,datasets,hedges_g,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,q_value
SRGAP1,10,-0.6191915469229395,0.232960808229393,-1.0757947310525497,-0.16258836279332928,0.007862419818878738,0.4272072135225937,0.8058284632198083,down,2,8,0.8,0.109375,0.0223600989862716
BTBD2,10,-0.8410768371541244,0.31653883749950634,-1.4614929586531569,-0.22066071565509193,0.007881495806811658,0.8824555904373876,0.9055461425084406,down,2,8,0.8,0.109375,0.022409247296831553
RASSF6,10,-0.3755151300312612,0.14133815067694902,-0.6525379053580813,-0.09849235470444112,0.007887309826698406,0.1062872059477939,0.600796576156877,down,1,9,0.9,0.021484375,0.022423225990753717
ACTR10,10,-0.35716649466589356,0.13443902120248988,-0.6206669762227737,-0.0936660131090134,0.007890554322942722,0.08960160115252229,0.5385027042587109,down,1,9,0.9,0.021484375,0.022429897307855277
RIMKLA,10,-0.7184027101967763,0.27054857513088143,-1.2486779174533038,-0.18812750294024871,0.007922481290215742,0.6147310568945337,0.8788294711255334,down,1,9,0.9,0.021484375,0.022516205447304167
MORF4L2-AS1,5,-0.43917279538929777,0.16539195270134044,-0.763341022683925,-0.11500456809467052,0.007922719101789506,0.00353164828518356,0.0,down,0,5,1.0,0.0625,0.022516205447304167
MNS1,10,0.41177734489648293,0.15508174808914185,0.10781711864176491,0.715737571151201,0.007925490378805796,0.1431513878460621,0.6804953552092038,up,9,1,0.9,0.021484375,0.022521519184728427
EGOT,6,0.31338302998631523,0.11802878381408248,0.08204661371071356,0.5447194462619169,0.007927533069210088,3.54259464753306e-06,0.0,up,5,1,0.8333333333333334,0.21875,0.0225247615561803
NAT1,10,-0.4998288551742126,0.1883026783605749,-0.8689021047609394,-0.13075560558748578,0.007945180336965018,0.25103547918118085,0.7764091537871151,down,2,8,0.8,0.109375,0.022569769160532535
SNRNP48,10,-0.62442877788284,0.23526558765230887,-1.0855493296813654,-0.1633082260843146,0.007950985805539127,0.4429046612437052,0.859825887827171,down,2,8,0.8,0.109375,0.022581125103248403
PYCARD,10,-0.39579207817368606,0.14912682921006276,-0.6880806634254091,-0.10350349292196304,0.007952885306906016,0.1270203290830105,0.6573038672552806,down,2,8,0.8,0.109375,0.022583952239606592
RHOT1,10,-0.44509725175563103,0.1677149497248324,-0.7738185532163024,-0.11637595029495956,0.007956944637251247,0.18132685940562815,0.6800632047183875,down,1,9,0.9,0.021484375,0.02259034367350533
