gene,datasets,rra_rho,rra_p,rra_rho_up,rra_p_up,rra_rho_down,rra_p_down,rra_q,rra_q_up,rra_q_down
DUSP7,10,5.147930595215049e-06,5.1479305952150496e-05,1.449887143098012e-07,1.4498871430980122e-06,0.9309295098147198,1.0,0.0021256273421333413,5.928630835934176e-05,1.0
HACL2,10,5.191851371419229e-06,5.191851371419229e-05,0.9301131463388482,1.0,1.4792305730795383e-08,1.4792305730795383e-07,0.0021402250678122735,1.0,1.9918145883348487e-05
BATF,10,5.213896247323061e-06,5.2138962473230605e-05,3.426358930469954e-09,3.426358930469954e-08,0.8809247103908493,1.0,0.0021457716994131362,2.9761028768755577e-06,1.0
PSMB2,10,5.280944438892037e-06,5.280944438892037e-05,2.9202756351314856e-09,2.9202756351314858e-08,0.9335650375669022,1.0,0.0021688410690083194,2.633624752390601e-06,1.0
DNMBP,10,5.292480470963706e-06,5.292480470963706e-05,0.80594912878935,1.0,9.39159123660529e-08,9.39159123660529e-07,0.0021688410690083194,1.0,7.147219925449197e-05
SGMS1,10,5.295997166226632e-06,5.295997166226632e-05,5.690073378397173e-09,5.690073378397173e-08,0.9916451863599508,1.0,0.0021688410690083194,4.457336722169086e-06,1.0
PLXNA2,10,5.320040412957786e-06,5.3200404129577864e-05,0.9519354296939314,1.0,2.3723284927198334e-08,2.3723284927198334e-07,0.002175121596662823,1.0,2.7564250268201934e-05
MANF,10,5.3775828725781674e-06,5.3775828725781676e-05,6.306851959749166e-08,6.306851959749166e-07,0.9740988372478498,1.0,0.0021950555186254117,2.9817025596903567e-05,1.0
BACE1,9,6.110040530759343e-06,5.499036477683409e-05,6.0969666604064e-09,5.4872699943657606e-08,0.8824900217565145,1.0,0.0022373805391297115,4.376536166458053e-06,1.0
SLC6A20,10,5.499185985451514e-06,5.499185985451515e-05,7.653007689061529e-09,7.653007689061529e-08,0.8666722228883329,1.0,0.0022373805391297115,5.560393809223967e-06,1.0
MNX1,10,5.521136328880468e-06,5.5211363288804676e-05,0.8263122196671534,1.0,5.712017586084913e-08,5.712017586084913e-07,0.00224265864441891,1.0,5.2721799646346554e-05
GUCA2A,10,5.541066239850636e-06,5.541066239850635e-05,0.9961399433982258,1.0,9.299154516910886e-09,9.299154516910886e-08,0.0022471002554822843,1.0,1.4164767011399442e-05
SPON2,9,6.214658119451781e-06,5.5931923075066034e-05,1.1139715418908364e-08,1.0025743877017528e-07,0.9458962841747479,1.0,0.0022645629989274303,6.988548323504432e-06,1.0
SGK2,10,5.684176022953445e-06,5.684176022953445e-05,0.9274577568413016,1.0,1.293098557155584e-07,1.293098557155584e-06,0.002294402756688319,1.0,8.923451673012056e-05
DACT2,10,5.686629324466464e-06,5.686629324466464e-05,0.892808747996362,1.0,9.563881676263788e-09,9.563881676263789e-08,0.002294402756688319,1.0,1.4479716857863375e-05
AKIRIN2,10,5.694446616015202e-06,5.6944466160152026e-05,1.327003278581581e-08,1.327003278581581e-07,0.978233640457633,1.0,0.002294402756688319,8.655318251239289e-06,1.0
ACP3,10,5.721948685511553e-06,5.721948685511553e-05,9.605950708495643e-10,9.605950708495642e-09,0.96026719120456,1.0,0.0023017713383697925,1.0957363225978521e-06,1.0
MLKL,10,5.7680628154865105e-06,5.768062815486511e-05,2.0847937353688095e-07,2.0847937353688098e-06,0.9723040909296776,1.0,0.0023163225766703976,7.914928921466297e-05,1.0
INSC,8,7.220832659149242e-06,5.776666127319393e-05,5.932022111574627e-08,4.7456176892597016e-07,0.9475413666443031,1.0,0.0023163225766703976,2.338269733637014e-05,1.0
TRIM22,10,5.795050330774386e-06,5.795050330774386e-05,1.975901321510209e-09,1.975901321510209e-08,0.9961367635065226,1.0,0.002319970389632611,1.937187255674565e-06,1.0
NUAK2,9,6.478262560833723e-06,5.830436304750351e-05,0.9677798209622542,1.0,1.2595327850953205e-07,1.1335795065857885e-06,0.002330402069263496,1.0,8.090842758291309e-05
ALDH18A1,10,5.857932758003796e-06,5.857932758003796e-05,0.9881095331032879,1.0,6.699446164915623e-07,6.699446164915623e-06,0.0023376520483657003,1.0,0.0002893850348612674
COX5A,10,5.9634814691585165e-06,5.963481469158517e-05,0.9608540083748062,1.0,4.4973044386458626e-08,4.4973044386458623e-07,0.002375976564291051,1.0,4.401942100039178e-05
SLCO4A1,10,5.974386558242606e-06,5.974386558242606e-05,5.518629728330678e-09,5.518629728330678e-08,0.9068415099480035,1.0,0.002376531060692015,4.376536166458053e-06,1.0
DPY19L1,10,6.004408057283251e-06,6.004408057283251e-05,2.6267301928850506e-08,2.6267301928850504e-07,0.9954115891571593,1.0,0.0023846759567407454,1.4712633844946511e-05,1.0
RNF24,10,6.029730245333056e-06,6.0297302453330565e-05,1.0503476969533427e-09,1.0503476969533427e-08,0.9275317710084279,1.0,0.002390931607280398,1.1713721347139042e-06,1.0
CD274,9,6.791141845729357e-06,6.112027661156422e-05,2.94150600887469e-09,2.6473554079872212e-08,0.8996703453845872,1.0,0.0024195470678059078,2.440353706528737e-06,1.0
MPC2,10,6.1212671504476745e-06,6.121267150447675e-05,0.8349086605762257,1.0,1.2410897170386169e-07,1.2410897170386168e-06,0.0024195470678059078,1.0,8.636117610401585e-05
GOT1,10,6.2322585354800556e-06,6.232258535480055e-05,0.99283611453454,1.0,1.9871195258702e-08,1.9871195258701998e-07,0.0024595268637413467,1.0,2.4490996290278386e-05
ICAM1,10,6.272915436604318e-06,6.272915436604318e-05,5.782778169948871e-09,5.782778169948871e-08,0.8760858935077522,1.0,0.0024716672006595028,4.497352150505156e-06,1.0
IL18R1,10,6.350249371693531e-06,6.350249371693531e-05,3.5128280012335765e-09,3.512828001233576e-08,0.7927207347653176,1.0,0.002495494392713563,3.0259984930626197e-06,1.0
TMEM63C,7,9.076237562066177e-06,6.353366293446324e-05,0.9990132043451967,1.0,4.4928727091553914e-07,3.145010896408774e-06,0.002495494392713563,1.0,0.0001663294718064191
SPARC,10,6.400852222974845e-06,6.400852222974845e-05,9.037351540142546e-08,9.037351540142546e-07,0.9651548281498152,1.0,0.0025101992053710295,3.995789005739839e-05,1.0
LYSET,10,6.432468797097943e-06,6.432468797097944e-05,0.7691571711361208,1.0,4.457006003160058e-08,4.4570060031600584e-07,0.002518644247967143,1.0,4.400808970946301e-05
PHTF1,10,6.47172468015919e-06,6.47172468015919e-05,1.3509057233218238e-09,1.3509057233218237e-08,0.8045024749618214,1.0,0.002530049362050966,1.4299566048433255e-06,1.0
PXDN,10,6.487619116826915e-06,6.487619116826916e-05,7.371246328966759e-09,7.371246328966759e-08,0.978365910462379,1.0,0.002532300205585206,5.439070628807744e-06,1.0
ZFP91,10,6.603642401100003e-06,6.603642401100003e-05,0.9802746121324464,1.0,3.1296323551274603e-08,3.1296323551274605e-07,0.002573566159467694,1.0,3.459351586877836e-05
TRIM47,10,6.66722486145158e-06,6.66722486145158e-05,1.1305388462930782e-08,1.1305388462930782e-07,0.9812817442097775,1.0,0.002588776613828742,7.653656075676799e-06,1.0
LAP3,10,6.675120818628815e-06,6.675120818628815e-05,1.3047232875386214e-08,1.3047232875386213e-07,0.8883363924383141,1.0,0.002588776613828742,8.532275509424686e-06,1.0
TRMT9B,9,7.416823653404721e-06,6.675141288064249e-05,0.9465676310278901,1.0,2.1355513883569653e-07,1.921996249521269e-06,0.002588776613828742,1.0,0.00011825957711647986
SOD2-OT1,6,1.1140205996020567e-05,6.68412359761234e-05,5.973926842342789e-08,3.5843561054056736e-07,0.9195250207237643,1.0,0.002588776613828742,1.8576929433431358e-05,1.0
