library,term,gene,n_datasets_in_lead,n_datasets_tested,lead_frequency,gene_hedges_g,gene_q_value,gene_direction,gene_datasets
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,MC3R,1,3,0.3333333333333333,-0.10277217976359804,0.8919799658972712,down,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,TSHR,1,3,0.3333333333333333,0.24326649633411374,0.5067772644432285,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,HTR7,1,3,0.3333333333333333,0.2185095582946917,0.5770832911615915,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,PTH1R,1,3,0.3333333333333333,0.12396525829374096,0.783246850136516,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GPBAR1,1,3,0.3333333333333333,0.07889319179612131,0.9097993529834871,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GNAS,1,3,0.3333333333333333,0.18842353473796375,0.6378293907513145,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,TAAR5,1,3,0.3333333333333333,0.11072910040857921,0.772808595922138,down,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GPHA2,1,3,0.3333333333333333,0.13221196590417844,0.7297168444234357,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GIPR,1,3,0.3333333333333333,0.08206072849795265,0.8803261858589618,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,FSHB,1,3,0.3333333333333333,0.032625213863215104,0.9518353691385948,down,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,FSHR,1,3,0.3333333333333333,0.007889280696301565,0.9900693768680501,down,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,PRKACG,1,3,0.3333333333333333,-0.15845177773815117,0.8212222955892419,down,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GNGT2,1,3,0.3333333333333333,0.1492722263321007,0.699204454280072,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GNG2,1,3,0.3333333333333333,0.11163057672071697,0.8454764126786747,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,MC5R,1,3,0.3333333333333333,0.14781087712944987,0.7011477835713373,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,TAAR8,1,3,0.3333333333333333,0.10406682319737623,0.786607649438327,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GNG13,1,3,0.3333333333333333,-0.2180884478228652,0.7650779867537585,down,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,TSHB,1,3,0.3333333333333333,0.049885717036763234,0.9145640111948942,up,3
