gene,datasets,rra_rho,rra_p,rra_rho_up,rra_p_up,rra_rho_down,rra_p_down,rra_q,rra_q_up,rra_q_down
RRH,3,0.43475981845905504,1.0,0.2349562158690614,0.7048686476071842,0.4336442349295329,1.0,1.0,1.0,1.0
RREB1,3,0.7167254489877735,1.0,0.1118314468739279,0.33549434062178374,0.4672824614151624,1.0,1.0,1.0,1.0
TLE3,3,0.6114908155420637,1.0,0.5134490037229933,1.0,0.3697613219989537,1.0,1.0,1.0,1.0
TROAP,3,0.3386493678353013,1.0,0.6525791678827187,1.0,0.08508356262889605,0.25525068788668814,1.0,1.0,1.0
RRBP1,3,0.6375487819245194,1.0,0.4158800055793572,1.0,0.320169563139993,0.960508689419979,1.0,1.0,1.0
UBOX5,3,0.6216755493204655,1.0,0.586589226041661,1.0,0.23535314997283013,0.7060594499184905,1.0,1.0,1.0
TRPC5,3,0.6501000924449154,1.0,0.45822330784369353,1.0,0.14525580274320868,0.435767408229626,1.0,1.0,1.0
TLCD3B,3,0.6683856027518622,1.0,0.5556747144845353,1.0,0.14118731082132596,0.4235619324639779,1.0,1.0,1.0
TKTL2,3,0.773530101582155,1.0,0.4927637274487643,1.0,0.29097970566055464,0.8729391169816639,1.0,1.0,1.0
TRPC7,3,0.7186046256893064,1.0,0.12827183912104,0.38481551736312003,0.5489608177063763,1.0,1.0,1.0,1.0
SCGB1A1,3,0.5838068896217727,1.0,0.1287387170328912,0.3862161510986736,0.6416337692020228,1.0,1.0,1.0,1.0
TRPM1,3,0.9041295652650873,1.0,0.2885041293654792,0.8655123880964376,0.11666032030134707,0.3499809609040412,1.0,1.0,1.0
RRAGD,3,0.4677921931626014,1.0,0.3867495388024648,1.0,0.3474164646685147,1.0,1.0,1.0,1.0
TK1,3,0.5679267107205599,1.0,0.3353550546552217,1.0,0.4470730922386146,1.0,1.0,1.0,1.0
SCGB1C1,3,0.7156257868960776,1.0,0.4137810812952,1.0,0.1779115896358697,0.5337347689076091,1.0,1.0,1.0
ZRSR2,3,0.35819425820224154,1.0,0.7479608631599278,1.0,0.19386752915260033,0.581602587457801,1.0,1.0,1.0
VAX2,3,0.4147755335183938,1.0,0.23726485892369362,0.7117945767710808,0.536821808476493,1.0,1.0,1.0,1.0
THRA,3,0.6984719934931631,1.0,0.29060829493375095,0.8718248848012529,0.32420224125278996,0.9726067237583699,1.0,1.0,1.0
TLK1,3,0.7201840290932475,1.0,0.33717487412397384,1.0,0.13854122226610835,0.4156236667983251,1.0,1.0,1.0
TRNP1,3,0.36023688200680415,1.0,0.14216536650961495,0.4264960995288448,0.7943168811583017,1.0,1.0,1.0,1.0
TLX3,3,0.7731263106724934,1.0,0.22292537085046585,0.6687761125513976,0.12938250677617344,0.3881475203285203,1.0,1.0,1.0
TLX2,3,0.7414351311581164,1.0,0.13251458965873297,0.3975437689761989,0.5158354421265265,1.0,1.0,1.0,1.0
TLX1,3,0.7586603272589832,1.0,0.2576720204588422,0.7730160613765266,0.23977024815236184,0.7193107444570855,1.0,1.0,1.0
TLR9,3,0.5025276204757911,1.0,0.20886050668203754,0.6265815200461127,0.6120486244202856,1.0,1.0,1.0,1.0
ZNF783,2,0.9751693798329176,1.0,0.35742465385028915,0.7148493077005783,0.2565294876540268,0.5130589753080536,1.0,1.0,1.0
