Supplementary Table 2: Differential expression results (DESeq2) of ulcerative colitis patients vs healthy controls. (i) UC vs CON);;;;;;
row;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
RP11.215P8.3;88.75911028;0.623689873;0.073010689;8.542446039;1.3141E-17;4.77653E-16
FCGR1A;42.72874481;1.078614557;0.126310167;8.539412002;1.34907E-17;4.85706E-16
DYNLL1;623.6803635;0.369501673;0.043267314;8.539972639;1.34254E-17;4.85706E-16
IGHG3;70.59795736;1.306653763;0.153010915;8.539611436;1.34674E-17;4.85706E-16
SF3B5;515.5636725;0.289480904;0.033926302;8.532639609;1.43046E-17;5.13385E-16
RPN2;249.7208354;-0.310565344;0.036412076;-8.529185352;1.47382E-17;5.27284E-16
AC007382.1;49.36272181;0.610162781;0.071550232;8.527754088;1.49216E-17;5.32174E-16
PUM2;465.111452;-0.36022823;0.04225071;-8.525968672;1.51536E-17;5.38759E-16
FAU;4007.795769;0.402883325;0.047260108;8.524807523;1.53064E-17;5.42496E-16
ATOX1;119.3065248;0.385241312;0.045264881;8.510821202;1.72706E-17;6.10209E-16
UVSSA;205.1972055;0.475680931;0.055901218;8.50931251;1.74968E-17;6.16287E-16
RABGAP1L;381.8722937;-0.370257704;0.043523508;-8.507073967;1.78378E-17;6.26359E-16
ARRB2;2455.974741;0.363863467;0.04278151;8.505157271;1.8135E-17;6.34835E-16
RP11.138A9.1;250.0534804;0.55270276;0.06503982;8.49791341;1.93029E-17;6.73648E-16
PPBP;728.1397459;0.861576737;0.101426628;8.494581289;1.98648E-17;6.91136E-16
PTK2B;1497.236404;0.303856887;0.035777375;8.492989927;2.01388E-17;6.98533E-16
RP11.44F14.5;75.13026887;0.602254722;0.070921196;8.491886145;2.0331E-17;7.03058E-16
AL627309.1;345.2323283;0.62576551;0.073746057;8.485409765;2.1496E-17;7.4109E-16
SNIP1;85.9349178;-0.341684483;0.040282373;-8.482233283;2.20912E-17;7.5931E-16
AC009961.3;30.30134012;0.879405213;0.103693373;8.480823692;2.23605E-17;7.66252E-16
RP1.90J20.12;23.35811922;0.999347471;0.11787427;8.478079863;2.28941E-17;7.8218E-16
BRD1;54.1035369;-0.525535061;0.062003019;-8.475959251;2.3315E-17;7.94177E-16
SMNDC1;190.3855394;-0.41783564;0.049325759;-8.470941885;2.43417E-17;8.26672E-16
BPI;73.94586344;1.29574001;0.153375966;8.448129431;2.96007E-17;1.00228E-15
COLGALT1;530.8999054;0.303148734;0.035923083;8.438828458;3.20534E-17;1.08211E-15
LNPEP;186.2002318;0.451841439;0.053568055;8.434904681;3.31473E-17;1.11573E-15
AHSP;711.3560134;1.207801452;0.143359303;8.424995292;3.60765E-17;1.21074E-15
ATG16L2;3091.007451;0.436002091;0.051753893;8.424527385;3.62209E-17;1.21202E-15
KDM3A;166.9214195;-0.432132468;0.051347281;-8.415878364;3.89962E-17;1.30105E-15
UXT;332.4289849;0.325207933;0.038676691;8.408370183;4.15747E-17;1.38303E-15
WDR13.1;153.1885319;0.462343136;0.055011104;8.404541996;4.29535E-17;1.42473E-15
AC132872.2;21.26607101;1.123981661;0.133855747;8.396962275;4.58177E-17;1.51531E-15
BAHD1;88.82026303;-0.48352554;0.057662129;-8.385495813;5.05124E-17;1.66574E-15
RHOG;1752.824818;0.433211865;0.051834129;8.357656873;6.39762E-17;2.10363E-15
MYL6B;18.28879328;0.945901274;0.113228921;8.353884038;6.60542E-17;2.1657E-15
NEAT1;9595.919877;0.58338825;0.069841488;8.353032946;6.65321E-17;2.1751E-15
COX7A2;349.7239765;0.49480575;0.059268756;8.348509176;6.913E-17;2.25356E-15
NOL12;107.0845594;0.354629088;0.042481316;8.347883819;6.94969E-17;2.25905E-15
MT.TC;86.25167878;0.973524015;0.116683995;8.343252351;7.22747E-17;2.34265E-15
FGD5.AS1;260.3243412;-0.386692977;0.046374105;-8.338553974;7.52045E-17;2.43069E-15
TMEM258;454.1227448;0.29708369;0.035629428;8.338154882;7.54587E-17;2.43199E-15
SNRK;321.518878;-0.492091997;0.059027146;-8.33670659;7.63883E-17;2.455E-15
MEX3C;61.03000424;-0.718969687;0.086263856;-8.33454151;7.77991E-17;2.4933E-15
NDUFS6;313.0344833;0.289086435;0.034687025;8.334137427;7.80652E-17;2.4948E-15
DUSP22;437.0254001;0.274779527;0.03299375;8.328229661;8.20602E-17;2.61512E-15
THOC5;148.9623185;0.475054776;0.057110965;8.318101014;8.93838E-17;2.84056E-15
TAZ.1;175.8883162;0.281121821;0.033803845;8.316267707;9.07767E-17;2.87679E-15
SETX;724.3822825;-0.235266903;0.028298158;-8.313859312;9.2639E-17;2.92765E-15
CDKN1B;636.5570974;-0.41231289;0.049613226;-8.31054381;9.52645E-17;3.00228E-15
HIVEP2;155.4336952;-0.387369051;0.046695782;-8.295589776;1.08048E-16;3.39575E-15
ST8SIA4;393.910111;-0.46664099;0.056311107;-8.286837467;1.16299E-16;3.64501E-15
DYSF;441.2644312;0.746907292;0.090151082;8.285061868;1.18048E-16;3.68964E-15
RP1.90J20.11;14.47986379;1.093021356;0.132006888;8.280032722;1.23141E-16;3.8383E-15
NAA50;123.4844338;-0.48519039;0.05860228;-8.279377296;1.23821E-16;3.84894E-15
KAZN;58.99006036;0.987483444;0.119327137;8.275430654;1.27992E-16;3.96776E-15
SFXN5;94.987572;0.432758245;0.052332786;8.269352319;1.34689E-16;4.164E-15
ADAM12;22.53707769;1.613347678;0.195118751;8.268542451;1.35607E-16;4.18102E-15
RALGAPA2;341.9056581;0.466174594;0.05639793;8.265810422;1.38749E-16;4.26634E-15
SIRT7;312.300266;0.254075402;0.030741544;8.264887517;1.39827E-16;4.28789E-15
BHLHE40;52.68137913;-0.590422611;0.071468948;-8.261246736;1.44159E-16;4.40886E-15
RCSD1;777.3859971;-0.242436893;0.029367654;-8.255235158;1.51603E-16;4.62411E-15
TOB2;136.4737248;-0.367291902;0.044511417;-8.251633613;1.56244E-16;4.7529E-15
ENTPD1;563.4462186;0.420422887;0.050984023;8.246169331;1.63553E-16;4.96198E-15
IL10RA;888.4981606;-0.313723252;0.038059752;-8.242913631;1.68067E-16;5.07188E-15
TSPYL1;285.9214209;-0.400872457;0.048631395;-8.243079616;1.67834E-16;5.07188E-15
CTD.2020K17.1;197.631996;0.371224529;0.045076961;8.235349457;1.79034E-16;5.38855E-15
